442135,Audit Nurse - 442135,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=442135&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,Office Of Chld & Fmly Health,NYC-ALL BOROS,ADMIN FOR CHILDREN'S SVCS,2020-07-29
440133,"Supervisor, SRU - 440133",https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440133&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,Child and Family Well-Being,MANHATTAN,ADMIN FOR CHILDREN'S SVCS,2020-07-22
441064,Locksmith - 441064,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441064&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,Facilities (Admin),MANHATTAN,ADMIN FOR CHILDREN'S SVCS,2020-07-21
440199,Engagement Specialist - 440199,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440199&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,Children's Center,MANHATTAN,ADMIN FOR CHILDREN'S SVCS,2020-07-20
429488,HR Business Partner Associate - 429488,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=429488&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,Office Of Human Resources,MANHATTAN,ADMIN FOR CHILDREN'S SVCS,2020-07-20
428063,Investigative Consultant Level I - 428063,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=428063&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,Spec Advisor For Invstgtion-Cr,NYC-ALL BOROS,ADMIN FOR CHILDREN'S SVCS,2020-07-20
441934,RCU Support/Community Assistant - 441934,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441934&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,General Counsel's Office (Gc),MANHATTAN,ADMIN FOR CHILDREN'S SVCS,2020-07-20
428066,Investigative Consultant Level II - 428066,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=428066&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,Spec Advisor For Invstgtion-Cr,MANHATTAN,ADMIN FOR CHILDREN'S SVCS,2020-07-15
441206,Cook Helper - 441206,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441206&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,LTD. Secure PlCmnt. - Admin,BRONX,ADMIN FOR CHILDREN'S SVCS,2020-07-13
441207,Cook Helper - 441207,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441207&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,LTD. Secure PlCmnt. - Admin,BRONX,ADMIN FOR CHILDREN'S SVCS,2020-07-13
441222,Stock Worker - 441222,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441222&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,LTD. Secure PlCmnt. - Admin,MANHATTAN,ADMIN FOR CHILDREN'S SVCS,2020-07-13
441667,Youth Development Specialist - 441667,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441667&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,Crossroads Juvenile Center,BROOKLYN,ADMIN FOR CHILDREN'S SVCS,2020-07-10
440110,Press Secretary - 440110,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440110&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,Division of External Affairs,MANHATTAN,ADMIN FOR CHILDREN'S SVCS,2020-07-09
433303,Pre-Placement Staff Nurse - 433303,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=433303&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,Office Of Chld & Fmly Health,NYC-ALL BOROS,ADMIN FOR CHILDREN'S SVCS,2020-06-11
436758,Direct Care Worker - 436758,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436758&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,Placement Services - FPS,MANHATTAN,ADMIN FOR CHILDREN'S SVCS,2020-03-12
432041,"Deputy Commissioner, Child and Family Well-Being - 432041",https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432041&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,Child and Family Well-Being,MANHATTAN,ADMIN FOR CHILDREN'S SVCS,2020-02-04
428091,Executive Director of Equity Strategies - 428091,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=428091&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,Headstart (ECE),MANHATTAN,ADMIN FOR CHILDREN'S SVCS,2020-01-09
415213,DYFJ Legal Counsel - 415213,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=415213&PostingSeq=1&,67,ADMINISTRATION FOR CHILDRE,DYFJ Central,MANHATTAN,ADMIN FOR CHILDREN'S SVCS,2019-10-09
